experiment	experiment_id	condition	condition_id	stimulus_id	stimulus_name	page_id	item_id	text	question_id	question	response_true	distractor_1	distractor_2	distractor_3
reveil-zh	1	real	1	1	Bottle-Message	1	1	一百零一年前的漂流瓶@#@杨丹丹从未见过她的祖父。他去世于一九四六年，那时她尚未出生。但在二零一四年四月八日星期二，她经历了一件匪夷所思的事，她收到了一个漂流瓶！		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	2	2	这是她的祖父一百零一年前扔进黄河里的。大家都认为这是世界上最古老的漂流瓶。该漂流瓶正在一个博物馆里面展出，博物馆方联系且告知了杨丹丹此事。	1	是谁把漂流瓶扔进了黄河？	杨丹丹的祖父	杨丹丹	博物馆的一个工作人员	一个渔夫
reveil-zh	1	real	1	1	Bottle-Message	3	3	“这太不可思议了，”六十二岁的杨丹丹回忆起自己得知漂流瓶消息的那一天，“再平凡不过的某一天，突然有人敲响了我的家门。他站在门口，对我说，他这边有我祖父的书信。”		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	4	4	随后，杨丹丹从他那边得知，一个漂流瓶被意外发现，瓶中藏有一封书信，而信上赫然署着她祖父的名字。杨丹丹的这名访客是一名家谱研究员，经过一番寻访，他辗转找到了身在上海的她，尽管此时这封信早已被送往中国北部港口城市大连的海事博物馆。	2	杨丹丹的访客是什么身份？	家谱研究员	博物馆工作人员	邮递员	记者
reveil-zh	1	real	1	1	Bottle-Message	5	5	这只透明的酒瓶在水中漂流了有一百零一年了，最终被一名叫陈实的渔夫捕获，当时，他正驾着小船，在黄河流经中国北部城市济南的河域作业。博物馆的海洋与科学馆馆长王刚感慨地说，这是他所见过的最古老的漂流瓶。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	6	6	他表示：“我们曾发现过更古老的书信，但它们不是以漂流瓶的形式，它们如今都被珍藏在博物馆中。”他补充道：“然而，这封信至今仍与瓶子一同保存完好。这无疑是目前发现的最古老的漂流瓶，而且它历经百年风霜雨雪，依旧完好如初，实属难能可贵。”	3	这个瓶子是如何被发现的？	由一名叫陈实的渔夫发现	它被冲上了黄河的河岸	由海洋与科学馆馆长王刚发现	一个小男孩在河边玩耍时发现的
reveil-zh	1	real	1	1	Bottle-Message	7	7	研究人员推测，一九一三年，年仅二十岁的杨志远在一次大学生远足中将漂流瓶投入河中。信件大部分已模糊不清，唯信封上的上海地址仍清晰可辨。他在信中礼貌请求发现者将信件寄回他的家庭住址，并附上两张邮票，以免对方承担邮资。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	8	8	“他一定没想到，这封信竟然花了一百零一年才送达。”杨丹丹说。她表示，虽从未见过祖父——他在她出生前六年去世，享年54岁——但收到这封跨越百年的信，依然令她深受感动，仿佛与祖父穿越时空建立了联系。	4	杨志远希望这封明信片最终抵达何处？	他的家中	由发现者自行保存	继续随河水漂流	被送往博物馆收藏
reveil-zh	1	real	1	1	Bottle-Message	9	9	“我对祖父了解不多，后来才知道他是一位思想开明、崇尚自由、尊重他人的作家。”杨丹丹说。“他年轻时乐于助人，与妻子和两个女儿一同游历全国。了解他的经历让我十分欣慰，也让我更理解自己的性格。”		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	10	10	和祖父一样，杨丹丹热爱文化、喜欢旅行，崇尚思想的开放。“祖父传给他子女的价值观，我母亲延续给我，如今我也传给了我的孩子。”尽管收到漂流瓶的信让她感动，她仍不鼓励人们效仿。“如今黄河已有大量塑料垃圾，真的不该再往里面扔东西了。”她说。	5	以下哪项是杨丹丹与她的祖父共同拥有的特质？	思想开明	热爱写作	反对污染黄河	热爱博物馆
reveil-zh	1	real	1	1	Bottle-Message	11	11	这封信和漂流瓶将在大连海事博物馆展出，展览将持续至二零一四年五月初，届时专家将尝试破译信件剩余的内容。至于展览结束后漂流瓶的去向，目前尚无定论，但杨丹丹希望它能继续留在博物馆。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	12	12	“我们希望能找到几张祖父年轻时的照片，将它们与漂流瓶一同展出，这样参观者不仅能看到这封尘封百年的信件，还能透过影像，直观地感受到那位曾经站在黄河岸边，将瓶子投入水中的年轻人。”她说道。	6	展览结束后，杨丹丹希望漂流瓶何去何从？	她希望它留在大连海事博物馆	她并未明确表示希望瓶子如何处理	她希望参观者能与漂流瓶合影留念	她想把它带回家珍藏起来
reveil-zh	1	real	1	2	Octopus	1	13	章鱼“墨迹”成功越狱，逃离新西兰水族馆@#@一只章鱼成功上演了一场惊天大逃亡，从新西兰国家水族馆中逃脱，溜出水箱、爬行穿越五十米长的排水管，最终消失在大海之中。这次离奇的出逃，让人不禁想起电影《海底总动员》中的情节。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	2	14	水族馆工作人员推测，某天夜里，当水族馆空无一人时，这只名叫“墨迹”的新西兰普通章鱼，趁着水箱盖子意外留下的一条缝隙，悄悄爬上玻璃缸顶端，沿着外壁滑落至地面，然后一路滑行，最终找到排水管，直通大海。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	3	15	水族馆的全国经理罗伯特·亚雷尔表示：“章鱼是天生的逃脱大师。我不认为墨迹是因为不开心或孤独才逃走的，因为章鱼本来就是独居生物。但他天生好奇，总想探索外面的世界。这就是他的个性。”	1	亚雷尔如何描述墨迹的性格？	充满好奇心	对外面的世界感到紧张	不开心	顽皮又淘气
reveil-zh	1	real	1	2	Octopus	4	16	其中一种理论认为，墨迹先滑行穿越水族馆地板，大约三到四米，然后在察觉到自由就在眼前时，钻入了一条通往大海的排水管。这条管道长达五十米，最终通向新西兰北岛东海岸的霍克湾。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	5	17	另一种可能的逃跑路线是，墨迹从水箱顶部的一条开放管道钻入，随后顺着地板下方的排水管一路滑行，最终成功逃脱。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	6	18	“第二天早上，我们进来后发现他的水箱是空的，真的大吃一惊。”水族馆经理亚雷尔说道。然而，尽管墨迹的失踪让工作人员感到惋惜，他们并未展开搜寻行动。“我们都很难过……但这就是墨迹，他总是如此出其不意，让人意想不到。”	2	墨迹是如何逃跑的？	尚不确定，目前有多个可能的理论	通过水箱顶部的开放管道	亚雷尔和其他员工偷偷帮他逃走	通过意外敞开的窗户
reveil-zh	1	real	1	2	Octopus	7	19	国家水族馆展览馆的管理员赖斯·詹金森坚信，墨迹并未被盗。“我非常了解章鱼的习性，”他说，“我曾见过章鱼在船上滑过渗水泵的缝隙。而且，这里的安保措施非常严格，根本不可能有人偷走墨迹，更何况，谁会想要偷走他呢？”		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	8	20	由于章鱼没有骨骼，它们能钻进极其狭小的空间，甚至曾被拍摄到从硬币大小的缝隙中挤过去。此外，章鱼极为聪明，甚至具备使用工具的能力。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	9	21	在新西兰惠灵顿岛湾海洋教育中心，一只章鱼被发现夜间会偷偷摸摸爬进另一座水箱偷螃蟹，然后再溜回自己的水箱。该中心的另一只章鱼闪电，更是被认为打破了世界纪录，它以最快速度打开玻璃罐，在被释放回大海前展现了令人惊叹的智慧。	3	文章为什么提到章鱼闪电？	举例说明章鱼的聪明才智	说明章鱼喜欢打开罐子	证明章鱼能钻过硬币大小的缝隙	说明水族馆里还有其他章鱼
reveil-zh	1	real	1	2	Octopus	10	22	墨迹最初是被一位当地渔民发现并带到国家水族馆的。当时，他被困在捕龙虾的笼子里，满身伤痕，外表粗糙。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	11	23	雅雷尔回忆道：“他当时生活在珊瑚礁中，与鱼类争斗，因此状态不是很好。”尽管如此，墨迹的智商异于常章，性格友善，充满好奇心，很快成为了水族馆最受欢迎的明星之一。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	2	Octopus	12	24	目前，水族馆没有计划提升安保措施，因为他们认为墨迹的逃脱是一个个案，但工作人员也越来越意识到章鱼的聪明才智。至于是否会寻找“接班人”，水族馆表示不会主动寻找新的章鱼，但如果有渔民再次送来一只，他们可能会收养。	4	为什么墨迹在进入水族馆之前状态不好？	因为他曾在珊瑚礁中与鱼类争斗	因为他长期生活在病鱼附近	因为他曾被困在肮脏的捕捞笼中	因为他在之前的水族馆受到了虐待
reveil-zh	1	real	1	3	Japan	1	25	日本向“加班文化”宣战@#@一天的工作告一段落，最重要的任务已完成，剩下的留待明日。此时，大多数人都会收拾桌面，踏上回家的路。然而，在日本，准时下班、回家吃晚饭，竟可能被视为对公司的不忠。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	2	26	长久以来，日本企业被默许最大限度地榨取员工的生产力，过度加班已成为职场常态。但如今，这一传统正受到挑战。日本政府正考虑立法，强制企业确保员工每年至少享有五天带薪休假，以打破根深蒂固的过劳文化，重塑更健康的职场生态。	1	日本政府希望员工做什么？	休更多的假	在国家法定假日不要工作	每天准时回家吃晚餐	减少加班时间
reveil-zh	1	real	1	3	Japan	3	27	日本员工理论上每年可享有十八天半的带薪假期（仅比全球平均水平少两天），最低标准为十天，另有十五个法定节假日。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	4	28	然而，现实情况却与此大相径庭——大多数人平均仅使用九天假期，远远未能享受应有的休息。在英国，连续两周的夏季假期被视为理所当然，而在日本，连休四天都被认为是奢侈的享受。	2	日本员工如何看待两周的夏季假期？	认为时间过长，是没有必要的享受	认为自己无权享受这样的假期	认为公司不会批准	认为会感到无聊
reveil-zh	1	real	1	3	Japan	5	29	面对长期以来根深蒂固的过劳文化，日本政府正在推动一项新法案，旨在鼓励员工真正享受带薪假期。该提案将在本届国会讨论，政府希望在未来十年内，让日本的休假文化逐步向欧美看齐。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	6	30	目前，英国员工平均每年休假二十天，法国则高达二十五天。有趣的是，一些企业已开始尝试鼓励员工在工位小憩，以提升工作效率。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	7	31	日本严苛的职场文化或许曾助其跻身世界经济强国之列，也让日本的企业员工因其对公司的忠诚度而备受全球推崇，但这往往是以牺牲个人生活为代价的。日本低生育率及人口迅速下降的预测，部分归因于夫妻因工作繁忙而缺乏时间建立家庭。	3	世界如何看待日本员工？	他们受到高度尊敬	他们对公司过于投入	他们被批评为了工作牺牲家庭	他们过于自满
reveil-zh	1	real	1	3	Japan	8	32	近年来，越来越多的员工因压力而身心俱疲，甚至不堪重负，最终死于“过劳死”。尽管研究表明，超长工时未必能提升生产力，但日本职场仍然深受上世纪八十年代泡沫经济时期的加班文化影响，难以摆脱这种惯性。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	9	33	日本政府数据显示，约22%的日本员工每周工作超过四十九小时，相比之下，美国为16%，法国和德国仅为11%。每天在公司待上十四个小时，并几乎放弃带薪休假的人中，关口绘理香并非个例。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	10	34	这位三十六岁的贸易公司职员本应享有二十天带薪休假，然而二零一四年她仅休了八天，其中六天还是病假。“几乎没人真正休年假，”她说道。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	11	35	在日本，请假不仅意味着自己得不到放松，还可能被同事指责“抛弃团队”。民生部负责工作时间政策的官员分部优，自己每月加班多达一百小时。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	3	Japan	12	36	他坦言，日本职场文化让员工难以休假，因为“同事之间存在无形的压力，大家都不愿成为那个‘提前离开’的人”。“带薪休假是员工的权利，”他补充道，“但遗憾的是，在日本工作往往意味着自愿奉献。”	4	谁表示日本员工几乎不使用带薪休假？	关口绘理香	一名资深企业职员	分部优	记者